Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Código da chapa;Classificacao;Desc. da chapa;Fita;Pintura;
23/01/23;500;G24126RM091.1;1141870;242412600911;MONTANTE G24126RM ;;12X60X503;;500;1680;1;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=503MM); 2 LADOS;
23/01/23;500;G24126RM091.1;1141870;242412600916;TAMPO G24126RM ;15X523X1202;15X520X1199;;500;50;10;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=520MM/1=; 1 LADO;
23/01/23;500;G24126RM091.1;1141870;242412600914;PORTA INF ESQ G24126RM ;15X491X598;15X488X595;;500;100;5;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=488MM/1=; 2 LADOS;
23/01/23;500;G24126RM091.1;1141870;242412600915;PORTA BASC G24126RM ;15X294X598;15X291X595;;500;100;5;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=291MM/1=; 2 LADOS;
23/01/23;500;G24126RM091.1;1141870;242412600017;TRAVESSA TRAS G24126RM ;;15X142X1174;;500;150;4;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 0 LADO; 0 LADO;
23/01/23;500;G24126RM091.1;1141870;242412600905;FRENTE FALSA G24126RM ;;15X142X1174;;500;180;3;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 0 LADO; 1 LADO;
23/01/23;500;G24126RM091.1;1141870;242412600906;FRENTE GAV ;15X320X598;15X156X595; CORTE 1X ;500;200;3;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=156MM/1=; 2 LADOS ;
23/01/23;500;G24126RM091.1;1141870;242412600019;TRAVESSA MENOR G24126RM ;;12X142X574;;500;360;2;2011000012021;AGLOM 12MM;AGLOM 12MM (2750x1850); 0 LADO; 0 LADO;
23/01/23;500;G24126RM091.1;1141870;242412600903;COSTA GAV G24126RM ;;12X110X493;;500;900;1;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=493MM); 1 LADO;
23/01/23;500;G24126RM091.1;1141870;242412600908;LATERAL DIR BALCAO ;;12X491X645;;500;120;5;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=645MM); 2 LADOS;
