N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
6;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;10;0.13;1;20;82.82;50;45.14;40;  0:20;SC11 - SCM Star;MATERIAIS_FV_NORMAL;11100;10962;2656;24.12945;242675000924;COSTA;694;325;0.22555;40;9.022;0.0252616;10.893086734;1500;0;0;12/07/22;G26751RM8N2.2;1119011;;2013000309026;0;0;694;325;2.7 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
6;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;10;0.13;1;20;82.82;50;45.14;40;  0:20;SC11 - SCM Star;MATERIAIS_FV_NORMAL;11100;10962;2656;7.90607;242412400927;FUNDO GAV;327;452;0.147804;20;2.95608;0.008277024;3.569146069;800;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;327;452;97.5 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;FUNDO GAV
7;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;20;0.25;1;20;93.24;100;90.28;40;  0:17;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;12712;654;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
7;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;20;0.25;1;20;93.24;100;90.28;40;  0:17;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;12712;654;24.95093;242412600907;FUNDO GAV;516;407;0.210012;100;21.0012;0.05880336;22.52482422;500;0;0;12/07/22;G24126RM8N1.1;1118562;;2013000309026;0;0;516;407;20 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;FUNDO GAV
7;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;20;0.25;1;20;93.24;100;90.28;40;  0:17;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;12712;654;3.51204;242412400927;FUNDO GAV;327;452;0.147804;20;2.95608;0.008277024;3.170541797;800;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;327;452;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;FUNDO GAV
7;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;20;0.25;1;20;93.24;100;90.28;40;  0:17;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;12712;654;71.54093;242412400922;COSTA;650;386;0.2509;240;60.216;0.1686048;64.584633984;400;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;650;386;77.5 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
8;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;10;0.13;1;20;89.38;50;45.14;40;  0:18;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12200;13102;0;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
8;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;10;0.13;1;20;89.38;50;45.14;40;  0:18;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12200;13102;0;27.25651;2425200009048;COSTA;650;188;0.1222;90;10.998;0.0307944;12.304958917;400;0;0;13/07/22;G2520050091.1;1120293;;2013000309026;0;0;650;188;85 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
8;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;10;0.13;1;20;89.38;50;45.14;40;  0:18;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12200;13102;0;16.76952;242675000924;COSTA;694;325;0.22555;30;6.7665;0.0189462;7.570604157;1500;0;0;12/07/22;G26751RM8N2.2;1119011;;2013000309026;0;0;694;325;4.7 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
8;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;10;0.13;1;20;89.38;50;45.14;40;  0:18;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12200;13102;0;55.96283;242412400922;COSTA;650;386;0.2509;90;22.581;0.0632268;25.264436926;400;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;650;386;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
9;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;100;1.26;5;20;91.33;100;451.4;40;  1:07;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;13546;644;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
9;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;100;1.26;5;20;91.33;100;451.4;40;  1:07;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;13546;644;20.37616;242412600907;FUNDO GAV;516;407;0.210012;400;84.0048;0.23521344;91.978348862;500;0;0;12/07/22;G24126RM8N1.1;1118562;;2013000309026;0;0;516;407;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;FUNDO GAV
9;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;100;1.26;5;20;91.33;100;451.4;40;  1:07;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;13546;644;3.03044;2425400009P2;COSTA;388;322;0.124936;100;12.4936;0.03498208;13.679464737;100;0;0;13/07/22;G24401PR5Z1.1;1119615;;2013000309026;0;3;388;322;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
9;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;100;1.26;5;20;91.33;100;451.4;40;  1:07;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;13546;644;76.59301;242675000924;COSTA;694;325;0.22555;1400;315.77;0.884156;345.742186401;1500;0;0;12/07/22;G26751RM8N2.2;1119011;;2013000309026;0;0;694;325;98 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
10;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;15;0.19;1;20;89.25;75;67.71;40;  0:25;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12950;12052;2154;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
10;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;15;0.19;1;20;89.25;75;67.71;40;  0:25;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12950;12052;2154;11.19725;242675000924;COSTA;694;325;0.22555;30;6.7665;0.0189462;7.581597289;1500;0;0;12/07/22;G26751RM8N2.2;1119011;;2013000309026;0;0;694;325;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
10;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;15;0.19;1;20;89.25;75;67.71;40;  0:25;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12950;12052;2154;76.67053;242007200904;COSTA;594;325;0.19305;240;46.332;0.1297296;51.913184898;1200;0;0;12/07/22;G20072507G1.1;1120500;;2013000309026;0;0;594;325;30 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
10;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;15;0.19;1;20;89.25;75;67.71;40;  0:25;SC11 - SCM Star;MATERIAIS_FV_NORMAL;12950;12052;2154;12.13305;2425200009048;COSTA;650;188;0.1222;60;7.332;0.0205296;8.215217812;400;0;0;13/07/22;G2520050091.1;1120293;;2013000309026;0;0;650;188;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
11;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;40;0.51;2;20;89.81;100;180.56;40;  0:29;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;14256;0;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
11;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;40;0.51;2;20;89.81;100;180.56;40;  0:29;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;14256;0;100.00123;242007200904;COSTA;594;325;0.19305;840;162.162;0.4540536;180.56;1200;0;0;12/07/22;G20072507G1.1;1120500;;2013000309026;0;0;594;325;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
