N° Layout;Código chapa ERP;Descrição da chapa;Família da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
9;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;50;3.63;5;10;92.43;100;302.5;11.3794;  1:08;SC09;MATERIAIS_FB_NORMAL;22000;9392;0;27.30031;242007005Z03;BASE MAIOR AERE;1026;248;0.254448;300;76.3344;0.9160128;82.584504503;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1026;248;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE MAIOR AEREO G20070
9;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;50;3.63;5;10;92.43;100;302.5;11.3794;  1:08;SC09;MATERIAIS_FB_NORMAL;22000;9392;0;17.7303;242007005Z34;TAMPO SUP COLUN;616;503;0.309848;160;49.57568;0.59490816;53.634835254;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;616;249;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO SUP COLUNA G20070
9;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;50;3.63;5;10;92.43;100;302.5;11.3794;  1:08;SC09;MATERIAIS_FB_NORMAL;22000;9392;0;4.43257;242007005Z32;TAMPO INTERM CO;616;503;0.309848;40;12.39392;0.14872704;13.408708814;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;616;249;16 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM COL G20070
9;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;50;3.63;5;10;92.43;100;302.5;11.3794;  1:08;SC09;MATERIAIS_FB_NORMAL;22000;9392;0;7.27013;242007005Z28;PRATELEIRA MOVE;616;220;0.13552;150;20.328;0.243936;21.992415052;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000012014;0;0;616;220;18 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL
10;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;93.39;100;254.375;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;16464;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
10;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;93.39;100;254.375;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;16464;0;26.08697;242007005Z32;TAMPO INTERM CO;616;503;0.309848;200;61.9696;0.7436352;66.358565291;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;616;249;96 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM COL G20070
10;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;93.39;100;254.375;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;16464;0;42.78678;242007005Z28;PRATELEIRA MOVE;616;220;0.13552;750;101.64;1.21968;108.838601123;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000012014;0;0;616;220;93 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL
10;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;93.39;100;254.375;11.3794;  0:55;SC09;MATERIAIS_FB_NORMAL;11000;16464;0;31.1265;242007005Z04;BASE MENOR AERE;588;503;0.295764;250;73.941;0.887292;79.177833586;250;0;0;21/12/21;G20070515Z*.2;1011336;DUPLA1Y;2011000012014;0;0;588;249;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE MENOR AEREO G20070
11;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;88.78;100;50.875;11.3794;  0:18;SC09;MATERIAIS_FB_NORMAL;11000;14290;7388;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
11;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;88.78;100;50.875;11.3794;  0:18;SC09;MATERIAIS_FB_NORMAL;11000;14290;7388;90.12991;242007005Z33;TAMPO INTERM AE;1026;248;0.254448;160;40.71168;0.48854016;45.858302026;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1026;248;32 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM AEREO G20070
11;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;88.78;100;50.875;11.3794;  0:18;SC09;MATERIAIS_FB_NORMAL;11000;14290;7388;6.8596;242007005Z32;TAMPO INTERM CO;616;503;0.309848;10;3.09848;0.03718176;3.490178535;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;616;249;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO INTERM COL G20070
11;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;88.78;100;50.875;11.3794;  0:18;SC09;MATERIAIS_FB_NORMAL;11000;14290;7388;3.00022;242007005Z28;PRATELEIRA MOVE;616;220;0.13552;10;1.3552;0.0162624;1.526519439;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000012014;0;0;616;220;94 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL
12;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;86;100;50.875;11.3794;  0:16;SC09;MATERIAIS_FB_NORMAL;13750;14370;2464;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
